view,period_type,period,source_tool,panel_id,index_scope,std_competency,domain,n,stacking_status,reliability_flags,panel_n_competencies,metric,value,n_distinct_scores,band_source
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,word_writing,literacy,81.0,stack_with_caveat,perfect_score_required;crosswalk_caveat,8.0,pct_students_cleared,55.55555555555556,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,word_writing,literacy,81.0,stack_with_caveat,perfect_score_required;crosswalk_caveat,8.0,z_within_panel,-1.019097895825702,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,word_writing,literacy,81.0,stack_with_caveat,perfect_score_required;crosswalk_caveat,8.0,percentile_within_panel,31.25,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,word_writing,literacy,81.0,stack_with_caveat,perfect_score_required;crosswalk_caveat,8.0,rank_within_panel,6.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,addition_1digit,numeracy,81.0,stack_with_caveat,crosswalk_caveat,8.0,pct_students_cleared,85.18518518518519,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,addition_1digit,numeracy,81.0,stack_with_caveat,crosswalk_caveat,8.0,z_within_panel,0.5918256073010653,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,addition_1digit,numeracy,81.0,stack_with_caveat,crosswalk_caveat,8.0,percentile_within_panel,75.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,addition_1digit,numeracy,81.0,stack_with_caveat,crosswalk_caveat,8.0,rank_within_panel,3.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,number_comparison,numeracy,81.0,stack_with_caveat,crosswalk_caveat,8.0,pct_students_cleared,93.82716049382715,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,number_comparison,numeracy,81.0,stack_with_caveat,crosswalk_caveat,8.0,z_within_panel,1.0616782957130382,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,number_comparison,numeracy,81.0,stack_with_caveat,crosswalk_caveat,8.0,percentile_within_panel,87.5,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,number_comparison,numeracy,81.0,stack_with_caveat,crosswalk_caveat,8.0,rank_within_panel,2.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,place_value_bundles,numeracy,81.0,stack_with_caveat,perfect_score_required;crosswalk_caveat,8.0,pct_students_cleared,55.55555555555556,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,place_value_bundles,numeracy,81.0,stack_with_caveat,perfect_score_required;crosswalk_caveat,8.0,z_within_panel,-1.019097895825702,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,place_value_bundles,numeracy,81.0,stack_with_caveat,perfect_score_required;crosswalk_caveat,8.0,percentile_within_panel,31.25,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,place_value_bundles,numeracy,81.0,stack_with_caveat,perfect_score_required;crosswalk_caveat,8.0,rank_within_panel,6.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,subtraction_1digit,numeracy,81.0,stack_with_caveat,crosswalk_caveat,8.0,pct_students_cleared,76.5432098765432,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,subtraction_1digit,numeracy,81.0,stack_with_caveat,crosswalk_caveat,8.0,z_within_panel,0.12197291888909079,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,subtraction_1digit,numeracy,81.0,stack_with_caveat,crosswalk_caveat,8.0,percentile_within_panel,50.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|all,all,subtraction_1digit,numeracy,81.0,stack_with_caveat,crosswalk_caveat,8.0,rank_within_panel,5.0,,
